code,name,display
AMZN,Amazon,Amazon (AMZN)
TSLA,Tesla,Tesla (TSLA)
AAPL,Apple,Apple (AAPL)
NVDA,NVIDIA,NVIDIA (NVDA)
MSFT,Microsoft,Microsoft (MSFT)
GOOGL,Alphabet(Google),Alphabet(Google) (GOOGL)
1301.T,極洋,極洋 (1301.T)
1305.T,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ（年１回決算型）,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ（年１回決算型） (1305.T)
1306.T,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ連動型上場投信,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ連動型上場投信 (1306.T)
1308.T,上場インデックスファンドＴＯＰＩＸ,上場インデックスファンドＴＯＰＩＸ (1308.T)
1309.T,ＮＥＸＴ　ＦＵＮＤＳ　ＣｈｉｎａＡＭＣ・中国株式・上証５０連動型上場投信,ＮＥＸＴ　ＦＵＮＤＳ　ＣｈｉｎａＡＭＣ・中国株式・上証５０連動型上場投信 (1309.T)
130A.T,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ (130A.T)
1311.T,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ　Ｃｏｒｅ　３０連動型上場投信,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ　Ｃｏｒｅ　３０連動型上場投信 (1311.T)
1319.T,ＮＥＸＴ　ＦＵＮＤＳ　日経３００株価指数連動型上場投信,ＮＥＸＴ　ＦＵＮＤＳ　日経３００株価指数連動型上場投信 (1319.T)
131A.T,ＣＣＮグループ,ＣＣＮグループ (131A.T)
1320.T,ｉＦｒｅｅＥＴＦ　日経２２５（年１回決算型）,ｉＦｒｅｅＥＴＦ　日経２２５（年１回決算型） (1320.T)
1321.T,ＮＥＸＴ　ＦＵＮＤＳ　日経２２５連動型上場投信,ＮＥＸＴ　ＦＵＮＤＳ　日経２２５連動型上場投信 (1321.T)
1322.T,上場インデックスファンド中国Ａ株（パンダ）Ｅ　Ｆｕｎｄ　ＣＳＩ３００,上場インデックスファンド中国Ａ株（パンダ）Ｅ　Ｆｕｎｄ　ＣＳＩ３００ (1322.T)
1325.T,ＮＥＸＴ　ＦＵＮＤＳ　ブラジル株式指数・ボベスパ連動型上場投信,ＮＥＸＴ　ＦＵＮＤＳ　ブラジル株式指数・ボベスパ連動型上場投信 (1325.T)
1326.T,ＳＰＤＲゴールド・シェア,ＳＰＤＲゴールド・シェア (1326.T)
1328.T,ＮＥＸＴ　ＦＵＮＤＳ　金価格連動型上場投信,ＮＥＸＴ　ＦＵＮＤＳ　金価格連動型上場投信 (1328.T)
1329.T,ｉシェアーズ・コア　日経２２５　ＥＴＦ,ｉシェアーズ・コア　日経２２５　ＥＴＦ (1329.T)
132A.T,アイエヌホールディングス,アイエヌホールディングス (132A.T)
1330.T,上場インデックスファンド２２５,上場インデックスファンド２２５ (1330.T)
1332.T,ニッスイ,ニッスイ (1332.T)
1333.T,マルハニチロ,マルハニチロ (1333.T)
133A.T,グローバルＸ　超短期米国債　ＥＴＦ,グローバルＸ　超短期米国債　ＥＴＦ (133A.T)
1343.T,ＮＥＸＴ　ＦＵＮＤＳ　東証ＲＥＩＴ　指数連動型上場投信,ＮＥＸＴ　ＦＵＮＤＳ　東証ＲＥＩＴ　指数連動型上場投信 (1343.T)
1345.T,上場インデックスファンドＪリート（東証ＲＥＩＴ指数）隔月分配型,上場インデックスファンドＪリート（東証ＲＥＩＴ指数）隔月分配型 (1345.T)
1346.T,ＭＡＸＩＳ　日経２２５上場投信,ＭＡＸＩＳ　日経２２５上場投信 (1346.T)
1348.T,ＭＡＸＩＳ　トピックス上場投信,ＭＡＸＩＳ　トピックス上場投信 (1348.T)
1349.T,ＡＢＦ汎アジア債券インデックス・ファンド,ＡＢＦ汎アジア債券インデックス・ファンド (1349.T)
134A.T,アプライズ,アプライズ (134A.T)
1356.T,ＴＯＰＩＸベア２倍上場投信,ＴＯＰＩＸベア２倍上場投信 (1356.T)
1357.T,ＮＥＸＴ　ＦＵＮＤＳ　日経平均ダブルインバース・インデックス連動型上場投信,ＮＥＸＴ　ＦＵＮＤＳ　日経平均ダブルインバース・インデックス連動型上場投信 (1357.T)
1358.T,上場インデックスファンド日経レバレッジ指数,上場インデックスファンド日経レバレッジ指数 (1358.T)
135A.T,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ (135A.T)
1360.T,日経平均ベア２倍上場投信,日経平均ベア２倍上場投信 (1360.T)
